aX,aY,aZ,gX,gY,gZ
0.084,0.140,0.975,5.615,6.409,-8.728
0.084,0.136,0.983,3.723,9.766,-7.874
0.092,0.125,0.983,2.991,12.268,-5.737
0.104,0.119,0.985,3.113,14.221,-4.333
0.121,0.101,0.991,4.211,15.198,-3.845
0.135,0.080,0.999,5.371,15.076,-4.272
0.144,0.071,1.001,7.141,14.709,-5.188
0.147,0.069,1.005,9.399,14.648,-6.409
0.148,0.051,1.006,11.597,14.771,-7.690
0.142,0.041,1.003,13.123,15.503,-8.606
0.141,0.022,1.001,14.099,17.212,-8.423
0.141,0.012,0.992,13.977,18.005,-8.057
0.143,0.000,0.989,12.878,17.944,-7.568
0.145,-0.015,0.979,11.536,17.273,-6.287
0.139,-0.027,0.979,10.437,16.846,-4.761
0.139,-0.036,0.972,8.118,16.846,-3.479
0.143,-0.042,0.968,5.920,16.113,-2.014
0.149,-0.050,0.970,5.005,14.832,0.122
0.145,-0.041,0.966,3.967,13.428,2.319
0.142,-0.043,0.962,2.441,11.963,4.761
0.146,-0.030,0.974,0.183,9.583,8.118
0.161,-0.014,0.981,-0.854,7.141,11.780
0.173,0.017,0.983,-0.305,4.822,15.442
0.185,0.050,0.988,0.732,2.136,18.066
0.202,0.076,0.995,1.953,-0.854,19.836
0.213,0.103,1.000,2.686,-3.418,20.508
0.219,0.138,1.000,3.296,-4.761,19.958
0.224,0.160,1.000,3.540,-5.249,18.494
0.223,0.174,0.998,4.028,-5.493,17.639
0.237,0.198,0.995,5.005,-4.761,15.991
0.243,0.220,0.982,6.470,-4.272,14.038
0.240,0.231,0.966,7.690,-3.906,11.597
0.241,0.228,0.956,8.240,-4.028,9.949
0.244,0.219,0.941,8.423,-3.601,7.446
0.247,0.206,0.933,8.057,-2.136,4.700
0.241,0.184,0.919,6.409,-0.488,1.648
0.227,0.167,0.910,4.028,0.793,-0.854
0.211,0.149,0.900,2.014,1.221,-2.869

-0.735,1.471,0.543,-75.623,-23.621,124.451
-0.614,1.612,0.595,-96.069,-12.634,122.131
-0.517,1.694,0.682,-111.755,3.235,119.141
-0.310,1.713,0.764,-117.432,21.667,110.107
-0.182,1.676,0.790,-110.352,34.302,96.252
0.006,1.613,0.824,-91.736,44.312,76.233
0.036,1.538,0.755,-66.528,44.434,50.842
0.054,1.443,0.683,-38.208,39.795,21.851
0.002,1.343,0.609,-13.672,33.142,-2.869
-0.077,1.254,0.563,4.150,23.865,-21.973
-0.158,1.146,0.543,14.832,13.794,-35.278
-0.183,1.035,0.581,17.761,7.507,-42.175
-0.208,0.947,0.624,14.282,5.615,-44.128
-0.211,0.895,0.681,9.888,6.531,-46.814
-0.232,0.856,0.724,7.019,6.714,-49.194
-0.216,0.810,0.750,6.287,5.554,-51.331
-0.210,0.764,0.783,8.362,5.920,-52.856
-0.208,0.738,0.798,11.597,5.554,-53.528
-0.225,0.714,0.818,14.282,3.662,-53.345
-0.227,0.671,0.832,16.602,2.319,-52.490
-0.225,0.655,0.860,19.348,2.380,-52.124
-0.231,0.647,0.866,21.301,1.221,-50.476
-0.202,0.619,0.874,23.376,0.977,-48.889
-0.198,0.578,0.871,26.123,1.404,-47.302
-0.155,0.556,0.875,28.870,2.747,-45.837
-0.127,0.530,0.881,30.884,4.639,-43.518
-0.108,0.511,0.867,32.288,5.920,-41.138
-0.064,0.486,0.867,33.203,6.714,-38.818
-0.029,0.467,0.886,32.654,6.470,-37.231
-0.022,0.443,0.901,30.701,5.859,-37.476
-0.012,0.425,0.913,28.076,6.470,-37.842
-0.004,0.415,0.906,26.062,9.399,-36.865
0.038,0.400,0.913,24.292,13.672,-34.668
0.073,0.361,0.902,22.583,15.015,-31.616
0.107,0.319,0.899,22.339,14.343,-29.602
0.123,0.296,0.888,22.583,13.000,-28.320
0.126,0.294,0.882,23.071,10.803,-27.039
0.150,0.279,0.885,23.071,7.324,-26.062
0.304,0.253,0.973,21.545,1.526,-24.658
0.110,0.256,0.846,18.188,-16.418,-22.400
0.140,0.242,0.958,19.409,-12.756,-22.949
0.177,0.204,0.925,21.057,5.005,-20.142
0.214,0.213,0.945,14.832,12.512,-19.165
0.232,0.203,0.929,8.240,9.644,-18.677
0.255,0.166,0.934,4.028,6.470,-18.860
0.246,0.143,0.934,2.686,4.700,-21.973
0.233,0.147,0.933,3.357,2.441,-26.245
0.201,0.163,0.927,5.920,-0.854,-27.771
0.193,0.141,0.914,8.728,-2.502,-27.649
0.182,0.143,0.911,9.949,-1.709,-27.649
0.172,0.138,0.903,9.949,-1.282,-27.710
0.195,0.094,0.910,8.972,-1.221,-26.733
0.192,0.090,0.925,7.690,-1.831,-26.367
0.179,0.099,0.918,7.385,-3.174,-25.452
0.202,0.087,0.936,9.155,-2.808,-24.048
0.181,0.107,0.941,11.414,-3.174,-24.109
0.171,0.110,0.937,12.268,-4.822,-25.085
0.161,0.105,0.954,10.620,-6.470,-25.391
0.140,0.103,0.965,6.958,-8.179,-27.039
0.120,0.088,0.983,3.479,-7.812,-27.954
0.108,0.084,0.989,1.038,-4.822,-27.283
0.104,0.103,1.003,0.122,-1.282,-26.184
0.100,0.110,1.007,-0.122,1.160,-24.597
0.112,0.128,1.026,1.465,1.892,-22.827
0.124,0.127,1.039,4.883,0.427,-20.996
0.126,0.129,1.051,8.911,-2.197,-19.348
0.126,0.134,1.056,12.268,-4.150,-17.883
0.129,0.125,1.051,14.587,-4.517,-16.785
0.137,0.097,1.043,16.113,-3.235,-16.968
0.135,0.091,1.033,16.296,-0.427,-18.372
0.139,0.074,1.024,14.893,3.235,-19.775
0.146,0.049,1.019,12.512,5.737,-20.630
0.130,0.045,1.011,9.949,7.263,-21.301
0.121,0.036,1.006,7.507,8.850,-21.057
0.115,0.014,1.002,6.409,10.254,-19.836
0.097,0.024,0.994,6.653,11.230,-17.822
0.097,0.019,0.975,8.179,11.108,-14.771
0.132,0.012,0.979,10.498,10.925,-11.414
0.095,0.007,0.957,12.024,9.827,-8.728
0.124,0.025,0.967,13.245,7.996,-8.057
0.117,0.035,0.953,13.855,7.019,-6.287
0.110,0.049,0.948,13.855,4.883,-3.418
0.115,0.056,0.948,14.343,3.906,-1.648
0.134,0.065,0.935,14.587,5.859,0.122
0.141,0.075,0.923,13.428,6.104,1.770
0.165,0.087,0.930,11.230,4.150,2.014
0.177,0.086,0.936,7.751,2.014,0.671
0.174,0.093,0.938,3.418,1.038,-0.854
0.162,0.105,0.950,-1.404,0.793,-2.625
0.146,0.122,0.963,-6.287,1.770,-4.333
0.126,0.134,0.977,-10.864,2.502,-5.310
0.130,0.149,0.996,-13.855,2.747,-5.371
0.138,0.161,1.013,-14.709,1.953,-4.639
0.139,0.169,1.028,-13.977,0.244,-3.479
0.158,0.172,1.042,-11.414,0.000,-2.197
0.158,0.181,1.042,-8.423,0.366,-1.831
0.158,0.188,1.042,-4.883,1.282,-2.319
0.154,0.184,1.025,-1.587,3.357,-2.563
0.163,0.173,1.006,0.610,5.310,-2.563
0.151,0.181,0.990,2.380,6.287,-3.174
0.140,0.196,0.975,3.601,6.348,-3.174
0.145,0.198,0.963,4.150,6.470,-2.625
0.154,0.197,0.953,3.906,6.531,-1.831
0.151,0.209,0.945,3.174,5.493,-1.770
0.153,0.218,0.937,2.991,4.761,-1.648
0.151,0.218,0.932,2.991,3.967,-1.221
0.159,0.225,0.927,2.930,3.540,-0.977
0.156,0.246,0.930,2.991,2.930,-0.916
0.162,0.246,0.932,2.991,1.953,-0.671
0.172,0.243,0.933,2.930,2.319,-0.671
0.178,0.245,0.933,2.502,3.357,-1.831
0.172,0.253,0.933,1.892,4.028,-3.357
0.165,0.250,0.929,1.526,4.639,-4.578
0.160,0.239,0.925,0.610,5.066,-5.615
0.156,0.233,0.922,-0.427,5.188,-6.531
0.153,0.230,0.917,-0.916,5.371,-7.385
0.154,0.222,0.914,-0.549,5.066,-7.629
0.149,0.213,0.906,-0.732,4.272,-7.935
0.149,0.206,0.902,-1.587,3.723,-7.935

-0.606,1.215,0.901,-82.397,-26.367,105.469
-0.483,1.297,0.987,-100.647,-10.864,106.445
-0.314,1.352,1.038,-106.567,3.784,97.229
-0.187,1.374,1.049,-103.577,15.686,78.552
-0.093,1.354,1.027,-96.802,29.114,52.734
-0.058,1.304,0.968,-88.684,41.626,24.536
-0.050,1.217,0.901,-79.163,51.514,-4.150
-0.089,1.111,0.835,-68.665,56.763,-28.625
-0.141,0.998,0.786,-58.777,54.321,-46.936
-0.172,0.872,0.768,-49.500,47.058,-56.396
-0.209,0.763,0.774,-40.771,36.621,-58.960
-0.216,0.678,0.810,-32.410,27.893,-55.969
-0.190,0.597,0.825,-23.437,23.499,-47.913
-0.106,0.509,0.874,-14.343,24.414,-38.879
-0.068,0.468,0.899,-6.653,23.193,-33.142
