aX,aY,aZ,gX,gY,gZ
0.370,-0.266,-0.943,44.556,18.860,-2.686
0.353,-0.264,-0.899,42.542,19.165,-2.319
0.354,-0.251,-0.937,43.152,23.926,1.770
0.329,-0.248,-0.938,41.138,30.701,2.136
0.340,-0.222,-0.975,38.513,34.851,1.648
0.334,-0.221,-1.002,37.781,36.194,3.113
0.327,-0.216,-1.016,36.438,35.950,2.991
0.325,-0.195,-1.028,35.217,33.936,2.258
0.317,-0.186,-1.037,35.767,30.518,0.610
0.301,-0.193,-1.055,34.790,29.297,-1.221
0.293,-0.205,-1.066,32.104,28.625,-1.587
0.291,-0.206,-1.058,29.846,26.001,-1.343
0.290,-0.210,-1.046,28.931,23.254,-0.427
0.291,-0.206,-1.043,28.381,21.423,-0.122
0.280,-0.212,-1.024,28.442,19.714,0.305
0.277,-0.204,-1.027,27.283,19.958,0.793
0.281,-0.198,-1.036,27.161,19.653,1.465

-0.431,0.317,-2.317,-82.092,-25.818,-23.010
-0.505,0.203,-2.477,-105.469,-37.354,-34.424
-0.581,0.110,-2.495,-136.536,-63.049,-31.433
-0.588,0.070,-2.406,-171.814,-91.675,-16.907
-0.605,0.014,-2.236,-209.534,-110.474,-1.404
-0.571,-0.015,-2.040,-246.277,-115.784,12.878
-0.534,-0.020,-1.825,-272.400,-118.835,25.269
-0.461,0.058,-1.584,-289.612,-122.925,34.851
-0.481,-0.078,-1.451,-292.236,-142.273,47.974
-0.329,-0.079,-1.191,-283.569,-157.532,62.683
-0.232,-0.040,-1.036,-286.865,-154.297,64.026
-0.151,-0.021,-0.855,-298.828,-140.991,66.101
0.027,-0.018,-0.699,-307.312,-128.296,76.721
0.053,0.038,-0.544,-310.425,-124.329,87.646
0.203,0.082,-0.427,-311.218,-120.911,96.680
0.346,0.128,-0.296,-306.458,-120.422,101.074
0.402,0.116,-0.128,-292.419,-125.610,97.595
0.466,0.010,-0.006,-274.109,-134.583,93.445
0.557,0.038,0.109,-253.967,-151.550,89.172
0.605,-0.004,0.231,-233.826,-150.208,78.430
0.661,-0.094,0.340,-219.177,-138.794,70.007
0.682,-0.134,0.484,-210.754,-126.099,61.218
0.726,-0.176,0.578,-200.073,-109.680,53.711
0.728,-0.242,0.698,-183.716,-93.506,46.143
0.762,-0.305,0.778,-164.307,-78.674,40.771
0.766,-0.350,0.814,-142.212,-70.007,32.959
0.757,-0.433,0.810,-115.784,-66.223,21.667
0.734,-0.531,0.797,-88.379,-66.040,7.568
0.688,-0.598,0.779,-62.561,-67.200,-3.723
0.641,-0.660,0.764,-41.565,-67.993,-11.536
0.588,-0.739,0.747,-24.353,-65.857,-15.686
0.525,-0.801,0.743,-10.254,-59.082,-16.785
